C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B,chord
0.215922,0.042304,0.059046,0.103958,0.141782,1.000000,0.107198,0.114903,0.243506,0.032272,0.059777,0.045627,FMin7
0.036885,0.015242,0.041788,0.039801,0.046737,0.266892,0.141959,0.984630,0.074802,0.038642,0.057833,0.056036,G7
0.771288,0.100885,0.114331,0.082829,0.088409,0.248993,0.045595,0.227643,0.062547,0.035040,0.107296,0.135687,CMin7
0.349850,0.064801,0.105380,0.213179,0.101485,0.388293,0.083727,0.216474,0.419322,0.090305,0.345563,0.068607,AbMaj7
0.022705,0.036395,0.199351,0.060131,0.183076,0.226386,0.164798,0.526205,0.113628,0.427880,0.121842,0.050204,GMin7
0.061802,0.075279,0.233612,0.288069,0.664129,0.117173,0.086462,0.027948,0.026729,0.325083,0.100586,0.309402,EMin7
0.056415,0.073433,0.400912,0.551493,0.169377,0.184459,0.050039,0.058714,0.054450,0.628896,0.305348,0.080984,EbMaj7
0.089569,0.065021,0.217847,0.208358,0.086639,0.344074,0.082122,0.058711,0.059515,0.336791,0.165860,0.088306,D7
0.039462,0.201999,0.072447,0.218743,0.296403,0.178156,0.407458,0.086804,0.476608,0.126751,0.051482,0.023058,GbMin7
0.081104,0.172969,0.274406,0.707700,0.136512,0.094491,0.034550,0.029328,0.320974,0.109425,0.328085,0.061361,EbMin7
0.112099,0.414534,0.556670,0.210884,0.181950,0.059731,0.061236,0.044202,0.545553,0.298664,0.071433,0.057799,DMaj7
0.087040,0.226972,0.424078,0.107605,0.385757,0.081970,0.060502,0.056567,0.293908,0.163820,0.089072,0.088827,Db7
0.207757,0.074743,0.220692,0.275780,0.192969,0.460848,0.103070,0.483012,0.120862,0.048058,0.022729,0.037987,FMin7
0.164759,0.310046,0.656222,0.142954,0.083345,0.031370,0.030683,0.370302,0.102473,0.296619,0.067843,0.064585,DMin7
0.378189,0.528810,0.197065,0.182451,0.060170,0.064941,0.048792,0.637083,0.281724,0.077144,0.058801,0.091988,DbMaj7
0.204429,0.387803,0.114052,0.385252,0.092104,0.072717,0.064887,0.344583,0.170518,0.102377,0.087275,0.079098,C7
0.048760,0.022542,0.030786,0.249890,0.060932,0.192826,0.296749,0.180638,0.449439,0.081705,0.436237,0.118834,AbMin7
0.307143,0.072838,0.065136,0.203930,0.335568,0.731871,0.155421,0.102002,0.028215,0.027941,0.230222,0.097344,FMin7
0.060100,0.051287,0.076846,0.444921,0.549173,0.166885,0.167375,0.053074,0.056749,0.038095,0.536234,0.267390,EMaj7
0.076220,0.084392,0.083483,0.222206,0.239953,0.083433,0.366646,0.111369,0.064372,0.044248,0.314796,0.151519,Eb7
0.096125,0.042928,0.016000,0.035397,0.236168,0.057028,0.198068,0.317194,0.163651,0.507919,0.080940,0.380932,BMin7
0.079956,0.273499,0.047734,0.065241,0.243670,0.319269,0.661592,0.118046,0.086524,0.021011,0.017793,0.294019,GbMin7
0.201630,0.038986,0.026091,0.076742,0.509640,0.552828,0.154912,0.193800,0.033996,0.043595,0.024787,0.441381,FMaj7
0.123506,0.043961,0.051813,0.067943,0.214202,0.283794,0.076391,0.389897,0.100833,0.050393,0.029915,0.289778,E7
0.117974,0.039039,0.412767,0.235298,0.021352,0.034670,0.048128,0.505786,0.056472,0.038580,0.389234,0.107566,CMin7
0.013982,0.014193,0.029982,0.024714,0.006594,0.016002,0.030551,1.000000,0.639719,0.075411,0.283079,0.029859,Bb7
0.135827,0.007126,0.011625,0.012376,0.199243,0.014802,0.060218,1.000000,0.145773,0.362583,0.081735,0.132728,AMin7
0.122380,0.008023,0.017551,0.066519,0.013420,0.023788,0.065366,1.000000,0.572164,0.081879,0.224702,0.039948,AbMaj7
0.049272,0.008499,0.020604,0.210305,0.015807,0.030461,0.073914,0.755177,0.259380,0.046830,0.172579,0.061075,G7
0.036399,0.023344,0.548393,0.331731,0.016999,0.035305,0.040570,0.759986,0.045923,0.031016,0.407359,0.038864,CMin7
0.012742,0.018763,0.057185,0.021911,0.007144,0.021396,0.032012,1.000000,0.373164,0.087398,0.333307,0.033739,Bb7
0.122773,0.006401,0.006750,0.009944,0.216777,0.013601,0.056723,1.000000,0.076474,0.408436,0.045833,0.124147,AMin7
0.107002,0.009141,0.015875,0.039922,0.011133,0.019867,0.064700,1.000000,0.457027,0.064633,0.177276,0.032673,AbMaj7
0.016283,0.009727,0.087298,0.529838,0.038873,0.229578,0.118088,0.932194,0.122246,0.032364,0.028181,0.090681,G7
0.071223,0.501431,0.069596,0.019058,0.026633,0.045196,0.435065,0.047320,0.035116,0.160471,0.097157,0.236149,BMin7
0.016775,0.676959,0.016774,0.005517,0.011856,0.027889,0.732826,0.034599,0.030621,0.084824,0.013458,0.005408,A7
0.011432,0.108279,0.015956,0.069384,0.015130,0.053522,0.959924,0.079279,0.197065,0.077678,0.083235,0.066881,AbMin7
0.007118,0.026698,0.384205,0.035457,0.029824,0.064995,0.979650,0.551019,0.099037,0.103237,0.036465,0.065058,GMaj7
0.007500,0.033561,0.516224,0.036667,0.058017,0.108767,0.598736,0.258518,0.043418,0.101602,0.105850,0.038585,Gb7
0.041626,0.602041,0.104090,0.009612,0.027027,0.037380,0.599852,0.040675,0.030737,0.225218,0.032378,0.037554,BMin7
0.020403,0.482236,0.016834,0.006845,0.020595,0.042981,0.970547,0.047811,0.041762,0.241510,0.022700,0.006501,A7
0.009197,0.005664,0.012419,0.034508,0.014760,0.055993,1.000000,0.083051,0.094904,0.057421,0.080857,0.070128,AbMin7
0.008122,0.022392,0.383648,0.030734,0.031545,0.097023,0.887227,0.524392,0.075184,0.133203,0.030316,0.069045,GMaj7
0.007478,0.056914,1.000000,0.038521,0.066261,0.131172,0.774171,0.075349,0.029826,0.025256,0.130490,0.012564,Gb7
0.542849,0.078979,0.022562,0.029309,0.053244,0.533000,0.052757,0.036075,0.191928,0.092410,0.113097,0.063073,BbMin7
0.683681,0.017606,0.004166,0.013642,0.032952,0.754949,0.035723,0.032219,0.094345,0.017386,0.007848,0.017983,Ab7
0.110775,0.026141,0.074377,0.018791,0.065187,0.963242,0.072585,0.059471,0.071788,0.121386,0.125389,0.016844,GMin7
0.017503,0.088986,0.022011,0.027226,0.068005,0.987490,0.489352,0.069349,0.126504,0.036798,0.113898,0.010468,GbMaj7
0.029296,0.490153,0.031497,0.056476,0.076377,0.532815,0.297020,0.051623,0.130339,0.078382,0.034047,0.008877,F7
0.639253,0.098228,0.011696,0.024231,0.038334,0.627974,0.048750,0.031444,0.255726,0.035697,0.032917,0.056756,BbMin7
0.055055,0.014966,0.006185,0.013246,0.045577,1.000000,0.213976,0.062733,0.098886,0.032693,0.018644,0.015693,Ab7
0.006187,0.024485,0.275930,0.026569,0.072802,1.000000,0.096621,0.094847,0.065309,0.135567,0.132498,0.014620,GMin7
0.022424,0.149605,0.022542,0.025462,0.081119,1.000000,0.543866,0.079033,0.202897,0.040346,0.109291,0.008779,GbMaj7
0.037345,1.000000,0.037891,0.049236,0.068609,0.418751,0.048076,0.021139,0.017979,0.105832,0.009427,0.005404,F7
0.046146,0.065993,0.033408,0.497726,0.063740,0.008790,0.020153,0.034327,0.528194,0.052063,0.026711,0.220590,DbMin7
0.016611,0.004877,0.013887,0.676458,0.018376,0.005417,0.012475,0.023682,0.780761,0.026721,0.024175,0.079668,B7
0.084682,0.072900,0.008328,0.106513,0.013047,0.099162,0.013984,0.041055,0.967114,0.071916,0.260567,0.061902,BbMin7
0.032284,0.110408,0.007411,0.029338,0.277060,0.028571,0.028583,0.052606,0.921688,0.544698,0.069933,0.139349,AMaj7
0.116087,0.037217,0.006425,0.030855,0.408593,0.025498,0.072167,0.067550,0.400149,0.173067,0.032987,0.207773,Ab7
0.028419,0.032777,0.026116,0.632811,0.071163,0.007960,0.018033,0.027626,0.593447,0.035484,0.020875,0.208443,DbMin7
0.019598,0.007165,0.014141,0.320325,0.013531,0.004442,0.011526,0.032104,1.000000,0.086030,0.044236,0.129660,B7
0.091495,0.083420,0.007822,0.004793,0.010083,0.114605,0.013720,0.040521,1.000000,0.076025,0.315237,0.043729,BbMin7
0.032680,0.128034,0.011412,0.018235,0.059058,0.018154,0.023790,0.054947,1.000000,0.399849,0.068094,0.137553,AMaj7
0.066074,0.009822,0.005449,0.034611,0.803486,0.020715,0.039558,0.061435,0.405033,0.057077,0.011672,0.010608,Ab7
0.049605,0.066978,0.157866,0.149724,0.989828,0.101900,0.113478,0.242141,0.036484,0.090489,0.048319,0.202561,EMin7
0.010095,0.037101,0.031354,0.046058,0.225302,0.131733,0.981925,0.067657,0.035735,0.066400,0.056591,0.033323,Gb7
0.090779,0.150326,0.105170,0.091980,0.209459,0.048234,0.227520,0.066521,0.041582,0.114688,0.132776,0.794996,BMin7
0.055887,0.082254,0.213569,0.089624,0.351327,0.079104,0.215196,0.448549,0.080876,0.318896,0.062623,0.309200,GMaj7
0.056682,0.139676,0.136410,1.000000,0.103688,0.118559,0.232459,0.041716,0.101907,0.054564,0.224456,0.048091,EbMin7
0.036790,0.038148,0.041273,0.211550,0.130542,0.995915,0.071724,0.034850,0.061092,0.060821,0.028200,0.011979,F7
0.113989,0.084642,0.078073,0.222545,0.046634,0.219320,0.073843,0.050766,0.133020,0.146988,0.789010,0.087852,BbMin7
0.085686,0.189362,0.083129,0.373555,0.094849,0.222586,0.442433,0.098380,0.347110,0.065599,0.297698,0.050412,GbMaj7
0.030367,0.168019,0.028505,0.055575,0.135103,0.099757,1.000000,0.072386,0.076662,0.214098,0.026351,0.086286,GbMin7
0.062264,0.031560,0.011537,0.039295,0.033209,0.037660,0.242763,0.129175,0.982883,0.058117,0.034218,0.054727,Ab7
0.126059,0.767863,0.089899,0.164667,0.142795,0.093315,0.260626,0.046124,0.208086,0.055586,0.027679,0.098547,DbMin7
0.050928,0.317480,0.063693,0.115053,0.235034,0.079477,0.358059,0.064928,0.192059,0.359244,0.058183,0.303913,AMaj7
0.096369,0.034999,0.208473,0.029376,0.050927,0.149629,0.091406,1.000000,0.072681,0.087851,0.223671,0.025976,GMin7
0.060400,0.067900,0.034318,0.012555,0.038471,0.032948,0.039609,0.235400,0.111375,0.984615,0.047639,0.026399,A7
0.107574,0.118352,0.774966,0.084275,0.156702,0.115079,0.095392,0.307464,0.051524,0.230645,0.048701,0.022929,DMin7
0.282502,0.049551,0.306851,0.059605,0.121997,0.261417,0.096081,0.356023,0.062744,0.175525,0.329232,0.049500,BbMaj7
0.442322,0.308297,0.486465,0.598717,0.179665,0.388877,0.098526,0.064097,0.101738,0.085274,0.136402,0.254223,FMin7
0.370586,0.283610,0.308212,0.353431,0.133457,0.737851,0.084688,0.047884,0.207214,0.083336,0.124525,0.212114,DbMin7
0.537150,0.329269,0.551320,0.641131,0.170335,0.149041,0.089414,0.081058,0.050142,0.101873,0.186334,0.323115,CMin7
0.272588,0.157421,0.245672,0.502144,0.206268,0.115150,0.055473,0.051778,0.190118,0.076742,0.139382,0.186090,EMaj7
0.341343,0.538575,0.582428,0.145087,0.275196,0.072323,0.059462,0.085390,0.101751,0.168396,0.281202,0.499930,EMin7
0.367782,0.298615,0.256163,0.096253,0.678284,0.059533,0.037798,0.209755,0.106167,0.172787,0.290512,0.406557,CMin7
0.395344,0.595425,0.569150,0.131861,0.116851,0.062074,0.062561,0.053452,0.098994,0.236992,0.335035,0.526585,BMin7
0.183517,0.293181,0.483801,0.184578,0.093372,0.048617,0.053465,0.226999,0.075086,0.134804,0.201642,0.261196,EbMaj7
0.565922,0.616699,0.169623,0.288077,0.077674,0.066184,0.099376,0.115176,0.194074,0.295936,0.514920,0.393500,EbMin7
0.308857,0.301100,0.120522,0.596705,0.078027,0.057377,0.251391,0.116947,0.172798,0.285603,0.440121,0.380345,BMin7
0.570284,0.591646,0.153666,0.115572,0.071585,0.079712,0.066998,0.128342,0.270391,0.362186,0.559892,0.400722,BbMin7
0.295891,0.446430,0.206688,0.095681,0.056051,0.056650,0.292072,0.101653,0.167516,0.232114,0.286341,0.199843,FMaj7
0.215112,0.448030,0.385723,0.580129,0.507761,0.147888,0.384708,0.050719,0.046894,0.070039,0.064226,0.117060,GbMin7
0.203376,0.365914,0.336671,0.424978,0.411600,0.115475,0.693684,0.040412,0.034799,0.134102,0.061314,0.120070,DMin7
0.264782,0.483313,0.391967,0.598416,0.509241,0.132302,0.129593,0.044933,0.050542,0.033910,0.067086,0.172260,DbMin7
0.166711,0.245436,0.205935,0.409681,0.544943,0.156832,0.092907,0.033655,0.039627,0.188479,0.058282,0.112659,FMaj7
0.072780,0.133603,0.413765,0.335219,0.570787,0.526010,0.140000,0.367078,0.056688,0.044428,0.067327,0.034523,GMin7
0.052307,0.120059,0.315102,0.311487,0.379918,0.392718,0.089741,0.718022,0.045164,0.034576,0.161332,0.033386,EbMin7
0.126419,0.220171,0.427112,0.317786,0.569349,0.535390,0.145333,0.127956,0.043533,0.048945,0.023418,0.038503,DMin7
0.084491,0.136134,0.227461,0.173337,0.405284,0.599244,0.175898,0.110776,0.039508,0.040504,0.150428,0.032124,GbMaj7
0.650349,0.069087,0.174348,0.075488,0.082078,0.271212,0.045538,0.128144,0.026519,0.034925,0.072234,0.079101,CMin7
0.113656,0.015306,0.026692,0.094563,0.037607,0.249891,0.036086,0.097785,0.501618,0.046085,0.313712,0.031110,AbMaj7
0.079659,0.027198,0.060003,0.074967,0.085152,0.880867,0.080855,0.422549,0.072030,0.026011,0.036548,0.032938,FMin7
0.033482,0.014516,0.051430,0.076687,0.044104,0.309546,0.093760,0.652924,0.309944,0.032870,0.291287,0.038720,G7
0.066164,0.188926,0.083943,0.062370,0.258871,0.046718,0.131695,0.023107,0.033769,0.076677,0.083612,0.639466,BMin7
0.018068,0.028408,0.100051,0.039645,0.228927,0.039935,0.096199,0.512113,0.045589,0.302612,0.031147,0.115681,GMaj7
0.022407,0.064001,0.083325,0.075236,0.880989,0.085345,0.421747,0.057495,0.027166,0.034422,0.039301,0.088400,EMin7
0.014925,0.041801,0.063730,0.049925,0.307367,0.086129,0.660489,0.291685,0.027300,0.278105,0.042335,0.026073,Gb7
0.170672,0.081180,0.059014,0.256266,0.047698,0.115544,0.027750,0.040822,0.096308,0.093919,0.676240,0.074922,BbMin7
0.024857,0.091997,0.034040,0.216768,0.039405,0.096816,0.502809,0.050776,0.317033,0.034179,0.141894,0.019996,GbMaj7
0.061205,0.080560,0.091254,0.849832,0.104561,0.447732,0.060797,0.031588,0.046247,0.044728,0.118306,0.028173,EbMin7
0.045409,0.064056,0.054028,0.299734,0.100817,0.668100,0.299383,0.030483,0.315982,0.039732,0.027560,0.015938,F7
0.063011,0.648313,0.067676,0.236699,0.105802,0.073343,0.287116,0.046468,0.115639,0.017742,0.028497,0.063676,DbMin7
0.026108,0.125554,0.018183,0.033013,0.108425,0.035751,0.254678,0.038364,0.094412,0.482441,0.035869,0.295449,AMaj7
0.032374,0.083453,0.022785,0.052380,0.092308,0.069822,0.955791,0.072616,0.401717,0.047625,0.023649,0.035253,GbMin7
0.034677,0.026157,0.014368,0.048327,0.069862,0.042288,0.319217,0.078399,0.678686,0.280499,0.024614,0.271920,Ab7
0.066712,0.064302,0.630041,0.062710,0.272369,0.092759,0.063050,0.280464,0.042924,0.119942,0.016425,0.027297,DMin7
0.273543,0.025798,0.117494,0.017580,0.028581,0.120109,0.031883,0.245717,0.033928,0.085624,0.476037,0.035473,BbMaj7
0.034312,0.028908,0.091851,0.019327,0.046013,0.091051,0.058334,0.929011,0.059923,0.396150,0.051080,0.024284,GMin7
0.259580,0.035697,0.029722,0.013847,0.043375,0.067086,0.038819,0.312054,0.077755,0.670414,0.278888,0.023645,A7
0.076485,0.341608,0.172650,0.940203,0.127238,0.181486,0.110077,0.031751,0.094816,0.059108,0.306477,0.078732,EbMin7
0.084563,0.153523,0.144023,0.469452,0.089996,0.129578,0.157629,0.161383,0.453101,0.062368,0.123199,0.035662,Ab7
0.116110,0.171090,0.897212,0.331119,0.078647,0.044481,0.081202,0.220098,0.242068,0.090337,0.082667,0.055635,AbMaj7
0.071624,0.060470,0.112485,0.103891,0.040400,0.077327,0.244330,1.000000,0.166386,0.065772,0.090051,0.088942,G7
0.421032,0.103614,0.073458,0.035842,0.028864,0.038110,0.101135,0.480412,0.076057,0.056607,0.099248,0.139700,CMin7
0.121549,0.368471,0.065726,0.050345,0.030159,0.158287,0.037751,0.029821,0.084351,0.087513,0.425154,0.130909,BbMin7
0.081003,0.400623,0.167825,0.980471,0.094098,0.179819,0.041116,0.093627,0.081421,0.036967,0.110321,0.061153,Eb7
0.452074,0.137267,0.116348,0.116700,0.036030,0.038289,0.091242,0.349735,0.072011,0.063918,0.142172,0.145121,CMin7
0.849758,0.101638,0.063322,0.102893,0.072344,0.054371,0.031132,0.050400,0.077879,0.095764,0.371060,0.163483,C7
0.293356,0.046071,0.053245,0.079917,0.105093,0.536531,0.086244,0.199951,0.053119,0.028709,0.039763,0.049361,FMin7
0.077510,0.332792,0.226970,1.000000,0.153295,0.185955,0.109858,0.033139,0.053646,0.025868,0.080347,0.050615,EbMin7
0.126606,0.148527,0.131733,0.501706,0.149865,0.193416,0.221611,0.192704,0.273148,0.075998,0.220367,0.058022,Ab7
0.323352,0.039635,0.059201,0.094455,0.082836,0.424466,0.082652,0.257962,0.094562,0.037111,0.040859,0.041046,FMin7
0.329794,0.188740,0.535473,0.141139,0.230806,0.066953,0.036686,0.124853,0.067755,0.395174,0.076465,0.069746,DMin7
0.117742,0.085443,0.296479,0.098823,0.172930,0.136515,0.172148,0.425766,0.081172,0.243076,0.058685,0.067479,G7
0.122359,0.338379,0.239747,0.058146,0.076580,0.148211,0.671903,0.233615,0.089303,0.086363,0.060928,0.171386,GMaj7
0.034250,0.071290,0.040648,0.032199,0.073858,0.266148,1.000000,0.126050,0.050967,0.070273,0.060605,0.054063,Gb7
0.092514,0.073745,0.024414,0.027844,0.035635,0.113329,0.510151,0.064797,0.045480,0.078680,0.117811,0.393827,BMin7
0.291276,0.067548,0.075509,0.031944,0.176589,0.035054,0.042090,0.107213,0.054295,0.131449,0.135308,0.291265,AMin7
0.295511,0.166957,1.000000,0.093019,0.183727,0.031746,0.086649,0.108220,0.037463,0.091511,0.054078,0.072836,D7
0.114576,0.106558,0.074866,0.034132,0.038324,0.095912,0.384613,0.061790,0.050057,0.111981,0.117130,0.405027,BMin7
0.073268,0.048292,0.093908,0.059937,0.075005,0.024904,0.054059,0.074027,0.083274,0.608435,0.146417,0.255968,B7
0.044961,0.046462,0.080490,0.124593,0.685031,0.118804,0.222902,0.058287,0.025960,0.037061,0.045720,0.273998,EMin7
0.289922,0.206044,1.000000,0.164958,0.224836,0.111187,0.037405,0.052084,0.024337,0.085000,0.039091,0.071123,DMin7
0.153347,0.113506,0.460653,0.165390,0.272288,0.155292,0.160533,0.420593,0.067087,0.289102,0.061886,0.122515,G7
0.040252,0.060757,0.098671,0.092071,0.438726,0.086508,0.125939,0.084146,0.032037,0.035820,0.043381,0.326420,EMin7
0.085584,0.173465,0.062551,0.239820,0.064042,0.043279,0.155338,0.060118,1.000000,0.091830,0.079699,0.247851,DbMin7
0.043768,0.082813,0.054425,0.159220,0.152030,0.172885,0.500543,0.127090,0.512698,0.044339,0.075049,0.062832,Gb7
0.100648,0.055387,0.040036,0.056635,0.178828,0.883101,0.265142,0.084282,0.058789,0.049976,0.127757,0.046298,GbMaj7
0.049483,0.049784,0.034560,0.072340,0.288270,1.000000,0.151771,0.050103,0.076740,0.071464,0.052461,0.034275,F7
0.071508,0.029879,0.026039,0.036330,0.117333,0.496400,0.077501,0.049536,0.091980,0.133006,0.397421,0.098939,BbMin7
0.065159,0.088059,0.034538,0.184363,0.032606,0.046467,0.160873,0.096260,0.390268,0.161532,0.197680,0.312876,AbMin7
0.187167,0.986068,0.128665,0.189130,0.040910,0.051122,0.110641,0.043443,0.151820,0.076051,0.096188,0.411231,Db7
0.101005,0.073480,0.035200,0.039310,0.090560,0.328129,0.064686,0.053691,0.149768,0.126649,0.411324,0.111585,BbMin7
0.064464,0.096707,0.049319,0.077274,0.023840,0.053322,0.075532,0.114478,0.652573,0.203475,0.746783,0.124691,Bb7
0.052438,0.076206,0.117308,0.676900,0.104294,0.204959,0.053531,0.026680,0.037236,0.046606,0.186673,0.044457,EbMin7
0.209208,1.000000,0.181924,0.244911,0.109635,0.029528,0.053148,0.029808,0.102184,0.057448,0.077606,0.300229,DbMin7
0.117325,0.459399,0.164938,0.233832,0.152471,0.127924,0.390379,0.089004,0.256969,0.074060,0.135219,0.155807,Gb7
0.060212,0.093216,0.097341,0.457805,0.089883,0.224281,0.057707,0.022298,0.022802,0.046159,0.315452,0.044152,EbMin7
0.078566,0.052008,0.202741,0.165845,0.721990,0.124802,0.220977,0.087119,0.022539,0.093794,0.056501,0.318846,EMin7
0.039933,0.073002,0.120838,0.117880,0.402522,0.068792,0.178532,0.127822,0.171762,0.334030,0.052575,0.155569,A7
0.054652,0.107813,0.116964,0.755961,0.119205,0.034307,0.050444,0.111813,0.523723,0.170545,0.076720,0.064630,AMaj7
0.068075,0.046661,0.038986,0.061557,0.057762,0.026096,0.067621,0.232460,1.000000,0.124940,0.050454,0.103276,Ab7
0.136481,0.406922,0.101018,0.071416,0.025369,0.026712,0.031981,0.102691,0.517404,0.062314,0.042128,0.097957,DbMin7
0.151452,0.265238,0.265874,0.063553,0.054913,0.027066,0.103805,0.037025,0.034508,0.079570,0.060845,0.193893,BMin7
0.048638,0.089326,0.318612,0.150504,1.000000,0.073632,0.192960,0.040860,0.122982,0.103667,0.027184,0.133300,E7
0.113177,0.353722,0.097913,0.095366,0.075403,0.027220,0.033364,0.076965,0.398870,0.050425,0.045829,0.127701,DbMin7
0.151661,0.691360,0.076877,0.051803,0.050670,0.047500,0.045156,0.019181,0.040850,0.057780,0.077412,0.571588,Db7
0.038619,0.250021,0.034986,0.051058,0.062502,0.086911,0.591463,0.087266,0.208698,0.040827,0.021111,0.031092,GbMin7
